"ID","Obra","Início","Término","Suporte","Categoria","Réplica?","Fonte","Instituição","País_Instituição","Nº _de_artistas","ID_artista_1","NomeArtista1","PaísNascimentoArtista1","PaísMorteArtista1","ID_artista_2","NomedoArtista2","PaísNascimentoArtista2","PaísMorteArtista2"
277,"Untitled V",1949,1982,"Glass, wood, and metal display case containing (left to right): Untitled, 1978: oil paint, stamp print, and baking mold, in two parts; Two Young Ladies with Luminous Bread (Zwei Fräulein mit leuchtendem Brot), 1966: typed paper and painted chocolate bar; Magnetic Waste (Magnetischer Abfall), 1975: cast iron; Zinc Box Covered with Sulfur (Tamponed Corner) (mit Schwefel überzogene Zinkkiste [tamponierte Ecke]), 1970: paint, zinc boxes, cloth with tampon, in two parts; Untitled (Nipple) (Ohne Titel [Brustwarze]), c. 1970: cast wax, felt, and sugar in glass jar; Untitled, c. 1964: felt, chalk, and hare fur; Corset (Corsett), 1949: bronze, fat, and wax; Untitled (Sugar Corner) (Ohne Titel [Zuckerecke]), 1967-68: hare bone, napkin, sugar, pieces of sulfur, and colored plastic cable, in cardboard box painted with watercolor; Untitled, 1982: ceramic cup and dried potato plant; Mirror Piece, 1975: cast ceramic containing potato; Untitled, 1974: chocolate and oil paint on shoebox lid","INSTALLATION","N","https://www.moma.org/collection/works/118973?classifications=20&date_begin=Pre-1850&date_end=1961&include_uncataloged_works=false&on_view=false&recent_acquisitions=false&with_images=true","MoMA","EUA",1,85,"Joseph Beuys","Alemanha","Alemanha",,,,
278,"Cygne Crépusculaire (Twilight Swan), 1949
            

            Joseph Cornell",1949,1949,"Backing board with attached stained wood frame and glass front, velvet (on sides), reproduced engraving, graphite, imitation gemstone, and mirror","NA","N","https://www.artic.edu/artworks/99786/cygne-crepusculaire-twilight-swan","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
279,"For Juan Gris #7, c. 1954
            

            Joseph Cornell",1949,1959,"Box construction","NA","N","https://www.artic.edu/artworks/99771/for-juan-gris-7","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
280,"Burbuja de jabón azul",1949,1950,"NA","Construcción","N","https://www.museothyssen.org/coleccion/artistas/cornell-joseph/burbuja-jabon-azul","Museo Nacional Thyssen-Bornemisza","Espanha",1,2,"Joseph Cornell","EUA","EUA",,,,
281,"Untitled",1949,1952,"wooden box containing glass, mirror, dye, and printed text on paper","Sculpture","N","https://www.sfmoma.org/artwork/96.396/","SFMOMA","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
282,"Cockatoo: Keepsake Parakeet",1949,1953,"Wooden cutout, paper, spring, and found objects in a glass-fronted wood box","Sculpture","N","https://americanart.si.edu/artwork/cockatoo-keepsake-parakeet-72087","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
283,"Soap Bubble Set",1949,1950,"Glasses, pipes, printed paper, and other media in a glass-fronted wood box","Sculpture","N","https://americanart.si.edu/artwork/soap-bubble-set-41412","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
284,"Bathtub for a Heroine",1950,1950,"Bronze, steel and plastic","Sculpture","N","https://www.tate.org.uk/art/artworks/beuys-bathtub-for-a-heroine-t03920","Tate Museum","Inglaterra",1,85,"Joseph Beuys","Alemanha","Alemanha",,,,
285,"Dovecote (Colombier), 1950
            

            Joseph Cornell",1950,1950,"Box construction","NA","N","https://www.artic.edu/artworks/99768/dovecote-colombier","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
286,"Untitled (Blue Sand Box), early 1950s
            

            Joseph Cornell",1950,1955,"Box construction","NA","N","https://www.artic.edu/artworks/99781/untitled-blue-sand-box","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
