"ID","Obra","Início","Término","Suporte","Categoria","Réplica?","Fonte","Instituição","País_Instituição","Nº _de_artistas","ID_artista_1","NomeArtista1","PaísNascimentoArtista1","PaísMorteArtista1","ID_artista_2","NomedoArtista2","PaísNascimentoArtista2","PaísMorteArtista2"
1,"Enduring Ornament",1913,1913,"Rusted iron ring","Sculpture","N","https://www.arthistoryproject.com/artists/elsa-von-freytag-loringhoven/enduring-ornament/","NA","NA",1,7,"Baronesa Elsa Hildegard von Freytag-Loringhoven","Alemanha","França",,,,
2,"Bicycle Wheel",1913,1913,"Metal wheel mounted on painted wood stool","Painting and Sculpture","S","https://www.moma.org/collection/works/81631","MoMA","EUA",1,129,"Marcel Duchamp","França","França",,,,
3,"Bottle Rack",1914,1914,"Galvanized iron","NA","S","https://www.artic.edu/artworks/238749/bottle-rack-porte-bouteilles","Art Institute of Chicago","EUA",1,129,"Marcel Duchamp","França","França",,,,
4,"In Advance of the Broken Arm",1915,1915,"Wood and galvanized-iron snow shovel","Painting and Sculpture","S","https://www.moma.org/collection/works/105050","MoMA","EUA",1,129,"Marcel Duchamp","França","França",,,,
5,"Hat Rack",1916,1916,"Wood","NA","S","https://www.artic.edu/artworks/73661/hat-rack","Art Institute of Chicago","EUA",1,129,"Marcel Duchamp","França","França",,,,
6,"... Pliant ... de voyage (Traveler's Folding Item)",1916,1916,"Toile plastifiée, métal","Oeuvre en 3 dimensions, Ready-made","S","https://www.centrepompidou.fr/en/ressources/oeuvre/cg9Kqa","Centre Pompidou","França",1,129,"Marcel Duchamp","França","França",,,,
7,"À bruit secret (With Hidden Noise)",1916,1916,"Ficelle, laiton, vis","Oeuvre en 3 dimensions, Ready-made","S","https://www.centrepompidou.fr/en/ressources/oeuvre/cML6go","Centre Pompidou","França",1,129,"Marcel Duchamp","França","França",,,,
8,"Comb",1916,1916,"Steel","Sculpture","N","https://www.philamuseum.org/collection/object/51552","Philadelphia Art Museum","EUA",1,129,"Marcel Duchamp","França","França",,,,
9,"God",1917,1917,"Wood miter box; cast iron plumbing trap","Sculpture","N","https://www.philamuseum.org/collection/object/51106","Philadelphia Art Museum","EUA",2,7,"Baronesa Elsa Hildegard von Freytag-Loringhoven","Alemanha","França",8,"Morton Schamberg ","EUA","EUA"
10,"New York",1917,1917,"Nickel plated and painted bronze","Sculpture","S","https://whitney.org/collection/works/10979","Whitney Museum of American Art","EUA",1,6,"Man Ray","EUA","França",,,,
11,"Trébuchet (Trap)",1917,1917,"Bois, métal","Oeuvre en 3 dimensions, Ready-made","S","https://www.centrepompidou.fr/en/ressources/oeuvre/cj7ybrB","Centre Pompidou","França",1,129,"Marcel Duchamp","França","França",,,,
12,"Fountain",1917,1917,"Porcelain urinal","Sculpture","S","https://www.philamuseum.org/collection/object/92488","Philadelphia Art Museum","EUA",1,129,"Marcel Duchamp","França","França",,,,
13,"Assemblaggio cubo - futurista",1917,1917,"legno e corda","scultura","N","https://www.mart.tn.it/en/works/assemblaggio-cubo-futurista-131327","MART","Itália",1,113,"Roberto Iras Baldessari","Itália","Itália",,,,
14,"Cathedral",1918,1918,"NA","NA","N","https://www.wikiart.org/pt/elsa-von-freytag-loringhoven/cathedral-1918","NA","NA",1,7,"Baronesa Elsa Hildegard von Freytag-Loringhoven","Alemanha","França",,,,
15,"Readymade malheureux",1919,1919,"NA","NA","N","https://images.grandpalaisrmn.fr/ark:/36255/15-596303","NA","NA",1,129,"Marcel Duchamp","França","França",,,,
16,"L.H.O.O.Q. or La Joconde",1919,1919,"Colored reproduction, heightened with pencil and white gouache","NA","S","https://www.nortonsimon.org/art/detail/P.1969.094","Norton Simon Museum","EUA",1,129,"Marcel Duchamp","França","França",,,,
17,"50 cc of Paris Air",1919,1919,"Glass ampoule","Sculpture","S","https://www.philamuseum.org/collection/object/51628","Philadelphia Art Museum","EUA",1,129,"Marcel Duchamp","França","França",,,,
18,"Tzanck Check",1919,1919,"Ink on paper","Arts/Prints & Drawings","N","https://www.imj.org.il/en/collections/219509-0#:~:text=Tzanck%20Check%20%7C%20The%20Israel%20Museum%2C%20Jerusalem","The Israel Museum","Israel",1,129,"Marcel Duchamp","França","França",,,,
19,"Portrait of Marcel Duchamp",1920,1922,"Broken wine glasses, assorted feathers, tree twigs, and other unidentifiable objects","ASSEMBLAGE","N","https://en.wikipedia.org/wiki/Portrait_of_Marcel_Duchamp","NA","NA",1,7,"Baronesa Elsa Hildegard von Freytag-Loringhoven","Alemanha","França",,,,
20,"Affinités",1920,1920,"tecnica mista su legno sagomato","scultura","N","https://www.mart.tn.it/en/works/affinites-122783","MART","Itália",1,114,"Christian Schad","Alemanha","Alemanha",,,,
21,"Five-String Banjo",1920,1950,"	Mixed mediums on banjo","Sculpture","N","https://philamuseum.org/collection/object/288789","Philadelphia Art Museum","EUA",1,108,"Felipe Jesús Consalvos","Cuba","EUA",,,,
22,"Die Dada-Mühle",1920,1920,"Collage on cardboard and construction in metal and wood with cord","Sculpture","N","https://collection.kunsthaus.ch/en/collection/item/1935/","Kunsthaus Zürich","Suíça",1,99,"Hannah Höch","Alemanha","Alemanha",,,,
23,"Obstruction",1920,1920,"Mobil av klädhängare","Sculpture","S","https://sis.modernamuseet.se/en/objects/1319/obstruction?ctx=77e556301eeea6aa35167f402aa8138fc82f0347&idx=14","Moderna Museet","Suécia",1,6,"Man Ray","EUA","França",,,,
24,"L’Enigme d’Isidore Ducasse",1920,1920,"Sewing machine, wool and string","NA","S","https://www.tate.org.uk/art/artworks/man-ray-lenigme-disidore-ducasse-t07957","Tate Museum","Inglaterra",1,6,"Man Ray","EUA","França",,,,
25,"New York",1920,1920,"Glass, steel, cork and linen tape","NA","S","https://www.tate.org.uk/art/artworks/man-ray-new-york-t07882","Tate Museum","Inglaterra",1,6,"Man Ray","EUA","França",,,,
26,"Rotative plaques verre",1920,1920,"Plexiglas peint, métal, bois, moteur électrique","Sculpture","S","https://www.centrepompidou.fr/fr/ressources/oeuvre/dS9Z3Wr","Centre Pompidou","França",1,129,"Marcel Duchamp","França","França",,,,
27,"Fresh Widow",1920,1920,"painted wood, glass, black leather, paper, and transparent tape","NA","S","https://www.nga.gov/collection/art-object-page.140327.html","The National Gallery of Art","EUA",1,129,"Marcel Duchamp","França","França",,,,
28,"The spirit of our time",1920,1920,"Wood, Metal, Leather, leatherette, textile","NA","N","https://arthive.com/artists/1659~Raoul_Hausmann/works/497694~The_spirit_of_our_time#google_vignette","NA","NA",1,75,"Raoul Hausmann","Áustria","França",,,,
29,"Cadeau",1921,1921,"Métal","Objet","S","https://www.centrepompidou.fr/fr/ressources/oeuvre/cLa7G6","Centre Pompidou","França",1,6,"Man Ray","EUA","França",,,,
30,"Lampshade (Abat-jour)",1921,1921,"Papier, carton","Oeuvre en 3 dimensions","S","https://www.centrepompidou.fr/fr/ressources/oeuvre/cLbdqr","Centre Pompidou","França",1,6,"Man Ray","EUA","França",,,,
31,"Why Not Sneeze Rose Sélavy?",1921,1921,"Painted metal birdcage, wood, marble cubes, a pair of white glass dishes, thermometer, cuttlebone","Sculpture","N","https://philamuseum.org/collection/object/51585","Philadelphia Art Museum","EUA",1,129,"Marcel Duchamp","França","França",,,,
32," La Bagarre d'Austerlitz",1921,1921,"Glas, Holz","Objekt","N","https://www.staatsgalerie.de/de/sammlung-digital/la-bagarre-dausterlitz-schlaegerei-austerlitz","Staatsgalerie Stuttgart","Alemanha",1,129,"Marcel Duchamp","França","França",,,,
33,"Licht-Raum Modulator",1922,1930,"metal, wood, glass, electromotor","Installation","S","https://vanabbemuseum.nl/en/collection/licht-raum-modulator","Van Abbemuseum","Holanda",1,125,"László Moholy-Nagy","Hungria","EUA",,,,
34,"Assemblage",1922,1922,"Wood, shell, and keys","NA","N","https://www.artic.edu/artworks/76051/assemblage","Art Institute of Chicago","EUA",1,95,"Paul Joostens","Bélgica","Bélgica",,,,
35,"Cure-dents",1923,1925,"Ripolin, oil, goose quill toothpick, drinking straws and string on canvas","mixed genre","N","https://collection.kunsthaus.ch/en/collection/item/2911/","Kunsthaus Zürich","Suíça",1,100,"Francis Picabia","França","França",,,,
36,"Indestructible objet",1923,1923,"Métronome et collage de photographie","Objet","S","https://www.centrepompidou.fr/fr/ressources/oeuvre/cyjeRK","Centre Pompidou","França",1,6,"Man Ray","EUA","França",,,,
37,"Rain",1924,1924,"twigs and rubber cement on metal and glass","NA","N","https://www.nga.gov/collection/art-object-page.97151.html","The National Gallery of Art","EUA",1,73,"Arthur Dove","EUA","EUA",,,,
38,"The Intellectual",1925,1925,"Wood box with magnifying glass, bone, moss, bark, and a scale on varnished cloth mounted on wood","NA","N","https://www.moma.org/collection/works/78779?artist_id=1602&page=1&sov_referrer=artist","MoMA","EUA",1,73,"Arthur Dove","EUA","EUA",,,,
39,"Rotary Demisphere (Precision Optics)",1925,1925,"Painted papier-mâché demisphere fitted on velvet-covered disk, copper collar with plexiglass dome, motor, pulley, and metal stand","Painting and Sculpture","N","https://www.moma.org/collection/works/81432?","MoMA","EUA",1,129,"Marcel Duchamp","França","França",,,,
40,"Birdhouse with Birds",1926,1931,"Painted wood, metal, string, wire, paper","Sculpture","N","https://whitney.org/collection/works/20255","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
41,"Brush",1926,1931,"Plastic brush","Sculpture","N","https://whitney.org/collection/works/42780","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
42,"Clothespin Ladies: Clothespin figure",1926,1931,"Wooden clothespin, paint, pipecleaners, and nails","Sculpture","N","https://whitney.org/collection/works/20245","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
43,"Clothespin Ladies: Clothespin figure",1926,1931,"Wooden clothespins, paint, pipecleaners, and nails","Sculpture","N","https://whitney.org/collection/works/42957","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
44,"Clothespin Ladies: Clothespin figure",1926,1931,"Wooden clothespins, paint, pipecleaners, and nails","Sculpture","N","https://whitney.org/collection/works/42958","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
45,"Clothespin Ladies: Clothespin figure",1926,1931,"Wooden clothespins, paint, pipecleaners, metal, paper, wire, thread, wood, cloth, and string","Sculpture","N","https://whitney.org/collection/works/42959","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
46,"Clothespin Ladies: Clothespin figure",1926,1931,"Wooden clothespins, paint, pipecleaners, and nails","Sculpture","N","https://whitney.org/collection/works/42960","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
47,"Clothespin Ladies: Platform",1926,1931,"Wood, metal, fabric, and string","Sculpture","N","https://whitney.org/collection/works/42701","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
48,"Clothespin Ladies: Sign ""The Four Seasons""",1926,1931,"Paper and paint","Sculpture","N","https://whitney.org/collection/works/42953","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
49,"Clown",1926,1931,"Galvainized steel wire, painted wood, cloth, yarn, leather, metal, and button","Sculpture","N","https://whitney.org/collection/works/5502","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
50,"Cyclist",1926,1931,"Painted aluminum and steel wire","Sculpture","N","https://whitney.org/collection/works/5508","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
51,"Elephant and Trainer",1926,1931,"Painted wood, cloth, rubber tubing, wire, fur, pipe cleaners, cork, and nails","Sculpture","N","https://whitney.org/collection/works/5511","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
52,"Fanni, the Belly Dancer",1926,1931,"Galvanized steel wire, fabric, rhinestones, thread","Sculpture","N","https://whitney.org/collection/works/5513","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
53,"Little Clown, the Trumpeteer",1926,1931,"Wire, cloth, paint, yarn, thread, and rhinestone buttons","Sculpture","N","https://whitney.org/collection/works/5521","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
54,"Man with Blue Hat",1926,1931,"Cloth, thread, wire and metal","Sculpture","N","https://whitney.org/collection/works/20253","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
55,"Parachutist",1926,1931,"Watercolor on tissue paper and cloth","Sculpture","N","https://whitney.org/collection/works/43385","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
56,"Prima Donna",1926,1931,"Wire, cloth, wood, cardboard, paint, rhinestones, nails, and thread","Sculpture","N","https://whitney.org/collection/works/5528","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
57,"Seals",1926,1931,"Painted wood, metal, wire, cork and plastic ball","Sculpture","N","https://whitney.org/collection/works/5530","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
58,"Suitcase",1926,1931,"Suitcase","Sculpture","N","https://whitney.org/collection/works/20281","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
59,"Sword Swallower",1926,1931,"Galvanized steel wire, steel wire, aluminum wire, cloth, and thread","Sculpture","N","https://whitney.org/collection/works/5535","Whitney Museum of American Art","EUA",1,90,"Alexander Calder","EUA","EUA",,,,
60,"Opera meccanica (Moto futurista)",1926,1926,"legno e materiali vari","scultura","N","https://www.mart.tn.it/en/works/opera-meccanica-moto-futurista-131269","MART","Itália",1,115,"Angiolino Spallanzani","Itália","Itália",,,,
61,"Kleines Seemannsheim",1926,1926,"Holz, Öl, Radspeichenfragment und Metall genagelt auf Karton","Objek","N","https://sammlung.kunstsammlung.de/de/werke/146","Kunstsammlung NRW","Alemanha",1,84,"Kurt Schwitters","Alemanha","Reino Unido",,,,
62,"Emak Bakia",1926,1926,"Cello fingerboard and scroll with horsehair","Painting and Sculpture","S","https://www.moma.org/collection/works/80776","MoMA","EUA",1,6,"Man Ray","EUA","França",,,,
63,"Merzbau",1927,1943,"NA","NA","N","https://www.tate.org.uk/research/tate-papers/08/kurt-schwitters-reconstructions-of-the-merzbau","Destruída","NA",1,84,"Kurt Schwitters","Alemanha","Reino Unido",,,,
64,"Ce qui manque à nous tous",1927,1927,"Clay, glass and wire","NA","S","https://www.tate.org.uk/art/artworks/man-ray-ce-qui-manque-a-nous-tous-t07960","Tate Museum","Inglaterra",1,6,"Man Ray","EUA","França",,,,
65,"Door, 11 rue Larrey",1927,1927,"wooden door","readymade?","N","https://www.toutfait.com/unmaking_the_museum/Door.11%20rue%20Larrey.html","NA","NA",1,129,"Marcel Duchamp","França","França",,,,
66,"Rabina, Taruja y Pitocha",1929,1932,"Conjunto de tres muñecas, cada una con inscripción de su nombre en el vestido","Artes decorativas, Textil, Escultura","N","https://www.museoreinasofia.es/coleccion/obra/rabina-taruja-pitocha","Reina Sofia","Espanha",1,92,"Delhy Tejero","Espanha","Espanha",,,,
67,"Untitled",1930,1930,"mixed media: paperboard, paper, shells, print,","Sculpture","N","https://americanart.si.edu/artwork/untitled-5684","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
68,"Untitled",1930,1930,"mixed media: paperboard, paper, engraving, shells, beads...,","Sculpture","N","https://americanart.si.edu/artwork/untitled-5685","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
69,"Untitled",1930,1930,"mixed media: paperboard, paper, engravings, shells...,","Sculpture","N","https://americanart.si.edu/artwork/untitled-5683","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
70,"Untitled",1930,1930,"mixed media: paperboard, paper, sand, shells, beads...,","Sculpture","N","https://americanart.si.edu/artwork/untitled-5682","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
71,"Untitled",1930,1930,"mixed media: paperboard, paper, engraving, beads, wire...,","Sculpture","N","https://americanart.si.edu/artwork/untitled-5681","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
72,"Untitled",1930,1930,"Mixed media: paperboard, paper, plant, feather, fabric:...","Sculpture","N","https://americanart.si.edu/artwork/untitled-5728","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
73,"Untitled (Shell)",1930,1930,"mixed media: paperboard, paper, shells,","Sculpture","N","https://americanart.si.edu/artwork/untitled-shell-5758","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
74,"Personnage (au parapluie) (Personage (with Umbrella))",1931,1931,"Wood furniture frames, dowel, umbrella and artificial flowers","Sculpture","S","https://successiomiro.com/catalogue/object/690","MoMA","EUA",1,38,"Joan Miró","Espanha","Espanha",,,,
75,"Object",1931,1931,"Root, bone, steel nail on wood","Sculpture","N","https://successiomiro.com/catalogue/object/679","NA","NA",1,38,"Joan Miró","Espanha","Espanha",,,,
76,"Objet",1931,1931,"wood, metal, cork, shell, paint, sand","Sculpture","N","https://www.stedelijk.nl/en/collection/112-joan-miro-objet","Stedelijk Museum Amsterdam","Holanda",1,38,"Joan Miró","Espanha","Espanha",,,,
77,"Objet scatologique à fonctionnement symbolique (Le Soulier de Gala)",1931,1931,"Chaussure en cuir, bois, fil, papier et objet divers","Objet","S","https://www.centrepompidou.fr/fr/ressources/oeuvre/cxb4b5","Centre Pompidou","França",1,9,"Salvador Dalí","Espanha","Espanha",,,,
78,"Objet à fonctionnement symbolique",1931,1931,"NA","Assemblage","N","https://www.salvador-dali.org/en/artwork/catalogue-raisonne-sculpture/obra/49eab9bd42ece411947100155d647f0b/object-functioning-symbolically7","NA","NA",1,9,"Salvador Dalí","Espanha","Espanha",,,,
79,"Objet",1931,1931,"Assemblage d'objets divers: tapis de jeu vert, dés, mains gantées","Objet","N","https://www.centrepompidou.fr/fr/ressources/oeuvre/rNOEfFr","Centre Pompidou","França",1,31,"Valentine Hugo","França","França",,,,
80,"Main prise",1932,1932,"Wood and metal","Sculpture","N","https://collection.kunsthaus.ch/en/collection/item/4609/","Kunsthaus Zürich","Suíça",1,101,"Alberto Giacometti","Suíça","Suíça",,,,
81,"Object",1932,1932,"Painted stone, shell, wood, mirror, sequins","Sculpture","N","https://philamuseum.org/collection/object/53952","Philadelphia Art Museum","EUA",1,38,"Joan Miró","Espanha","Espanha",,,,
82,"Untitled (Object)",1932,1935,"Paper, cardboard box, glass pane, wood balls, and metal jacks","3-D Object/Sculpture","N","https://www.menil.org/collection/objects/3127-untitled-object","Menil","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
83,"Untitled",1932,1932,"Wire on paper-covered base with glass dome","Painting and Sculpture","N","https://www.moma.org/collection/works/81126?classifications=any&date_begin=Pre-1850&date_end=1960&q=Joseph+Cornell&utf8=%E2%9C%93&with_images=1","MoMA","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
84,"Untitled",1932,1932,"Spring and glass eye on metallic base with glass dome","Painting and Sculpture","N","https://www.moma.org/collection/works/81128?classifications=any&date_begin=Pre-1850&date_end=1960&q=Joseph+Cornell&utf8=%E2%9C%93&with_images=1","MoMA","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
85,"Coup d’Oeil (Bird’s-Eye View)",1932,1932,"Photomechanical reproductions on wood and paper","Sculpture","N","https://americanart.si.edu/artwork/coup-doeil-birds-eye-view-5603","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
86,"Jouet Surrealiste",1932,1932,"Steel line engravings, paper, paint and ink on paperboard and metal","Sculpture","N","https://americanart.si.edu/artwork/jouet-surrealiste-5636","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
87,"Untitled (Coup d’Oeil)",1932,1932,"Engravings and paper on wood","Sculpture","N","https://americanart.si.edu/artwork/untitled-coup-doeil-5737","Smithsonian American Art Museum","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
88,"Non Euclidean Object I",1932,1932,"Acier, caoutchouc , socle en bois","Oeuvre en 3 dimensions","S","https://www.centrepompidou.fr/fr/ressources/oeuvre/9SSWsMP","Centre Pompidou","França",1,6,"Man Ray","EUA","França",,,,
89,"Babaouo",1932,1932,"Wooden box, sheets of painted glass and light source","NA","N","https://www.salvador-dali.org/en/artwork/catalogue-raisonne-sculpture/obra/bcc503b642ece411947100155d647f0b/babaouo","Fundació Gala-Salvador Dalí","Espanha",1,9,"Salvador Dalí","Espanha","Espanha",,,,
90,"Untitled (Object)",1933,1933,"cardboard box with glass containing wood, paper, engraving, and metal","Sculpture","N","https://www.sfmoma.org/artwork/82.347/","SFMOMA","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
91,"Target",1933,1933,"Bois, papier, photo, relief en plâtre peint","Oeuvre en 3 dimensions","N","https://www.centrepompidou.fr/fr/ressources/oeuvre/cMdL9kL","Centre Pompidou","França",1,6,"Man Ray","EUA","França",,,,
92,"Autoportrait",1933,1933,"Mixed media: bronze, glass, wood, and newsprint","Sculpture","N","https://americanart.si.edu/artwork/autoportrait-15596","Smithsonian American Art Museum","EUA",1,6,"Man Ray","EUA","França",,,,
93,"The Lovers",1933,1933,"Lead and rope","NA","S","https://www.tate.org.uk/art/artworks/man-ray-the-lovers-t07958","Tate Museum","Inglaterra",1,6,"Man Ray","EUA","França",,,,
94,"Buste de femme rétrospectif",1933,1933,"Painted porcelain, bread, corn, feathers, paint on paper, beads, ink stand, sand, and two pens","Assemblage","N","https://www.salvador-dali.org/en/artwork/catalogue-raisonne-sculpture/obra/60eab9bd42ece411947100155d647f0b/retrospective-bust-of-a-woman","MoMA","EUA",1,9,"Salvador Dalí","Espanha","Espanha",,,,
95,"Chaise atmosphérique",1933,1933,"NA","Assemblage","N","https://www.salvador-dali.org/en/artwork/catalogue-raisonne-sculpture/obra/84eab9bd42ece411947100155d647f0b/atmospheric-chair","NA","NA",1,9,"Salvador Dalí","Espanha","Espanha",,,,
96,"Untitled. Head of roaring lion with open mouth with a plate of fried eggs in its mouth",1933,1933,"NA","Assemblage","N","https://www.salvador-dali.org/en/artwork/catalogue-raisonne-sculpture/obra/7eeab9bd42ece411947100155d647f0b/untitled-head-of-roaring-lion-with-open-mouth-with-a-plate-of-fried-eggs-in-its-mouth","NA","NA",1,9,"Salvador Dalí","Espanha","Espanha",,,,
97,"Joella Lloyd",1933,1934,"Oil paint and watercolour on plaster of Paris","NA","N","https://www.salvador-dali.org/en/artwork/catalogue-raisonne-sculpture/obra/61eab9bd42ece411947100155d647f0b/joella-lloyd","Reina Sofia","Espanha",1,9,"Salvador Dalí","Espanha","Espanha",,,,
98,"Objet a fonctionnement",1934,1937,"Bois, plâtre et métal","Objet","N","https://www.centrepompidou.fr/en/ressources/oeuvre/cX4bzLd","Centre Pompidou","França",1,43,"Camille Bryen","França","França",,,,
99,"Untitled (Black Hunter), c. 1939
            

            Joseph Cornell",1934,1944,"Box construction with painted glass","NA","N","https://www.artic.edu/artworks/99765/untitled-black-hunter","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
100,"Le tireur (The Shooter)",1934,1934,"Plaster, glass, paint and metal","Sculpture","N","https://www.museoreinasofia.es/en/collection/artwork/tireur-shooter","Reina Sofia","Espanha",1,30,"Óscar Domínguez","Espanha","França",,,,
101,"Le petit théâtre",1934,1934,"Wooden box, sheets of painted glass and light source","NA","N","https://www.salvador-dali.org/en/artwork/catalogue-raisonne-sculpture/obra/5ceab9bd42ece411947100155d647f0b/the-little-theatre","MoMA","EUA",1,9,"Salvador Dalí","Espanha","Espanha",,,,
102,"Untitled. Version of «Retrospective Bust of a Woman»",1934,1934,"NA","Assemblage","N","https://www.salvador-dali.org/en/artwork/catalogue-raisonne-sculpture/obra/96eab9bd42ece411947100155d647f0b/untitled-version-of-retrospective-bust-of-a-woman","NA","NA",1,9,"Salvador Dalí","Espanha","Espanha",,,,
103,"La Profanation de l'hostie",1935,1935,"Boîte-vitrine en bois et en carton contenant un assemblage d'éléments divers","Objet","N","https://www.centrepompidou.fr/fr/ressources/oeuvre/cXbzokz","Centre Pompidou","França",1,32,"Georges Hugnet","França","França",,,,
104,"La Poupée",1935,1936,"Bois peint, papier mâché collé et peint, cheveux, chaussures, chaussettes","Objet","N","https://www.centrepompidou.fr/fr/ressources/oeuvre/iNIjBCF","Centre Pompidou","França",1,93,"Hans Bellmer","Alemanha","França",,,,
105,"Pour la poche",1935,1935,"épingles, fils de couleur, carré de soie noir et bille de verre montés sur carton gauffré","NA","N","https://www.piasa.fr/fr/products/jacqueline-lamba-saint-mande-1910-rochecorbon-1993-pour-la-poche-3-mars-1935_66422ac25dd9d8.57028975","NA","NA",1,26,"Jacqueline Lamba","França","França",,,,
106,"Untitled (Butterfly Habitat), c. 1940
            

            Joseph Cornell",1935,1945,"Box construction with painted glass","NA","N","https://www.artic.edu/artworks/99766/untitled-butterfly-habitat","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
107,"Untitled (For Tamara Toumanova), c. 1940
            

            Joseph Cornell",1935,1945,"Box construction","NA","N","https://www.artic.edu/artworks/99784/untitled-for-tamara-toumanova","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
108,"Untitled (Game), c. 1940
            

            Joseph Cornell",1935,1945,"Box construction","NA","N","https://www.artic.edu/artworks/99763/untitled-game","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
109,"Untitled (Harlequin), 1935/38
            

            Joseph Cornell",1935,1938,"Box construction","NA","N","https://www.artic.edu/artworks/99764/untitled-harlequin","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
110,"What We All Lack",1935,1935,"Clay pipe with glass ball","NA","S","https://www.artic.edu/artworks/140643/what-we-all-lack","Art Institute of Chicago","EUA",1,6,"Man Ray","EUA","França",,,,
111,"Varlop",1935,1935,"Bois et lame en acier","Oeuvre en 3 dimensions","S","https://www.centrepompidou.fr/fr/ressources/oeuvre/cn7j9bR","Centre Pompidou","França",1,6,"Man Ray","EUA","França",,,,
112,"Pérégrinations de Georges Hugnet (Peregrinaciones de Georges Hugnet)",1935,1935,"Madera, hierro y pintura al óleo","Assemblage; Sculpture","N","https://www.museoreinasofia.es/coleccion/obra/peregrinations-georges-hugnet-peregrinaciones-georges-hugnet","Reina Sofia","Espanha",1,30,"Óscar Domínguez","Espanha","França",,,,
113,"Garden",1935,1935,"Plaster, paint, sand and shells","Sculpture","N","https://www.tate.org.uk/art/artworks/vezelay-garden-l03888","Tate Museum","Inglaterra",1,123,"Paule Vézelay","Inglaterra","Reino Unido",,,,
114,"Object",1936,1936,"Wood and paint with tennis ball, hair, and found objects","NA","N","https://www.artic.edu/artworks/189807/object","Art Institute of Chicago","EUA",1,22,"Claude Cahun","França","Jersey",,,,
115,"Les Caves du Vatican",1936,1936,"Constructions with tree trunk and silk banner",,"N","https://www.moma.org/documents/moma_catalogue_1884_300299023.pdf","Collection Charles Ratton","França",1,37,"E. L. T. Mesens","Bélgica","Bélgica",,,,
116,"Angel of Anarchy",1936,1940,"Plaster, fabric, shells, beads, diamante stones and other materials","Sculpture","N","https://www.tate.org.uk/art/artworks/agar-angel-of-anarchy-t03809","Tate Museum","Inglaterra",1,33,"Eileen Agar","Argentina","Reino Unido",,,,
117,"Le Petit Mimétique",1936,1936,"Insecte, feuille séchée, papier cellophane","Objet","N","https://www.centrepompidou.fr/fr/ressources/oeuvre/KksL5j0","Centre Pompidou","França",2,26,"Jacqueline Lamba","França","França",27,"André Breton","França","França"
