id_mostra,nome_mostra,id_instituicao,instituicao,cidade,pais,intervalo,ano_inicio
103,The New Decade  - 35 American painters and sculptors,79,Whitney Museum of American Art,Nova York,EUA,1955,1955
104,1955 Annual Exhibition of Contemporary American Painting ,79,Whitney Museum of American Art,Nova York,EUA,1955-1956,1955
105,"1956 Annual Exhibition - Sculpture, Watercolors, Drawings (3/3)  - Drawings",79,Whitney Museum of American Art,Nova York,EUA,1956,1956
106,1957 Annual Exhibition (2/2)  - Painting,79,Whitney Museum of American Art,Nova York,EUA,1957-1958,1957
107,The Museum and its Friends  - Twentieth Century American Art From the Collections of the Friends of the Whitney Museum,79,Whitney Museum of American Art,Nova York,EUA,1958,1958
108,"1958 Annual Exhibition (2/3)  - Sculpture, Paintings, Watercolors, Drawings - Paintings in all mediums",79,Whitney Museum of American Art,Nova York,EUA,1958-1959,1958
109,Le Mouvement ,17,Galerie Denise René,Paris,França,1955,1955
110,Eisenplastik ,44,Kunsthalle Bern,Berna,Suíça,1955,1955
111,Internationale Sezession 1956 ,55,Museum Morsbroich,Leverkusen,Alemanha,1956,1956
112,Accrochage ,17,Galerie Denise René,Paris,França,1957,1957
113,Denise René expose ,55,Museum Morsbroich,Leverkusen,Alemanha,1959,1959
114,Œuvres d'art transformables ,33,Gallery One,Londres,Reino Unido,1960,1960
115,Opere d'arte animate e moltiplicate ,27,Galleria Bruno Danese,Milão,Itália,1960,1960
116,"Multiplizierte Kunstwerke, die sich bewegen oder bewegen lassen ",40,Kaiser Wilhelm Museum,Krefeld,Alemanha,1960,1960
117,"Alexander Calder - Mobiles und Stabiles aus den letzten Jahren  - Edition MAT, PAris - Kunstwerke, die sich bewegen oder bewegen lassen",54,Museum für Gestaltung,Zurique,Suíça,1960,1960
118,"Norbert Kricke, Bernhard Luginbühl, Jean Tinguely ",44,Kunsthalle Bern,Berna,Suíça,1960,1960
119,Contemporary American Painting  - 3rd Exhibition,42,Krannert Art Museum,Champaign,EUA,1950,1950
120,Amerika schildert ,71,Stedelijk Museum Amsterdam,Amsterdam,Holanda,1950,1950
121,25. Esposizione Biennale Internazionale d'Arte ,4,Biennale di Venezia - United States of America,Veneza,Itália,1950,1950
122,Abstract Painting and Sculpture in America,57,Museum of Modern Art – MoMA,Nova York,EUA,1951,1951
123,Véhémences confrontées ,21,Galerie Nina Dausset,Paris,França,1951,1951
124,Society for Contemporary American Art  - 11th Annual Exhibition,73,The Art Institute of Chicago,Chicago,EUA,1951,1951
125,Bienal de São Paulo  - Estados Unidos – Pintura,3,Bienal de São Paulo,São Paulo,Brasil,1951,1951
126,15 Americans,57,Museum of Modern Art – MoMA,Nova York,EUA,1951,1951
127,Opposing Forces ,37,ICA - Institute of Contemporary Arts,Londres,Reino Unido,1953,1953
128,"1953 Annual Exhibition of Contemporary American Sculpture, Watercolors and Drawings (3/3)  - Drawings",79,Whitney Museum of American Art,Nova York,EUA,1953,1953
129,12 amerikanische Maler und Bildhauer der Gegenwart ,47,Kunsthaus Zürich,Zurique,Suíça,1953,1953
